"author_id","first_name","last_name"
1,"Peter","Ackroyd"
2,"Amir","Aczel"
3,"Jeffery","Archer"
4,"Richard","Bach"
5,"Michael","Baz-Zohar"
6,"","BBC"
7,"E. T.","Bell"
8,"David","Bodanis"
9,"Gary","Bradsky"
10,"","Braithwaite"
11,"Dan","Brown"
12,"Albert","Camus"
13,"Fritjof","Capra"
14,"Drew","Conway"
15,"Jim","Corbett"
16,"Thomas","Cormen"
17,"Michael","Crichton"
18,"William","Dalrymple"
19,"Richard","Dawkins"
20,"Siddhartha","Deb"
21,"P. L.","Deshpande"
22,"Sunita","Deshpande"
23,"Keith","Devlin"
24,"Charles","Dickens"
25,"Peter","Dickinson"
26,"Fyodor","Dostoevsky"
27,"Allen","Downey"
28,"Arthur Conan","Doyle"
29,"Peter","Drucker"
30,"Stephen","Dubner"
31,"Hart","Duda"
32,"Will","Durant"
33,"Gerald","Durrell"
34,"Bob","Dylan"
35,"Steve","Eddins"
36,"Abraham","Eraly"
37,"Richard","Feynman"
38,"Robert","Fisk"
39,"Ken","Follett"
40,"John","Foreman"
41,"David","Forsyth"
42,"Frederick","Forsyth"
43,"Sergio","Franco"
44,"Thomas","Friedman"
45,"Earle Stanley","Gardner"
46,"Sanjay","Garg"
47,"Amitav","Ghosh"
48,"James","Gleick"
49,"Richard","Gordon"
50,"Jaideva","Goswami"
51,"W. H.","Greene"
52,"John","Grisham"
53,"Madan","Gupta"
54,"Sebastian","Gutierrez"
55,"Lorraine","Hansberry"
56,"Sam","Harris"
57,"Stephen","Hawking"
58,"Simon","Haykin"
59,"Werner","Heisenberg"
60,"Joseph","Heller"
61,"Ernest","Hemingway"
62,"Adolf","Hitler"
63,"Victor","Hugo"
64,"Samuel","Huntington"
65,"Aldous","Huxley"
66,"Lee","Iacoca"
67,"Phillip","Janert"
68,"Frank","Kafka"
69,"V. P.","Kale"
70,"Yashwant","Kanetkar"
71,"","Kautiyla"
72,"Maria","Konnikova"
73,"Dominique","Lapierre"
74,"Steig","Larsson"
75,"","Machiavelli"
76,"William S.","Maugham"
77,"Wes","McKinney"
78,"V. P.","Menon"
79,"Leonard","Mlodinow"
80,"Ned","Mohan"
81,"V. S.","Naipaul"
82,"","Nariman"
83,"Kuldip","Nayar"
84,"Jawaharlal","Nehru"
85,"Robert","Nisbet"
86,"Andy","Oram"
87,"George","Orwell"
88,"","Palkhivala"
89,"Randy","Pausch"
90,"Robert","Pirsig"
91,"Edgar Allen","Poe"
92,"John","Pratt"
93,"Ayn","Rand"
94,"Sudhanshu","Ranjan"
95,"Muhammad","Rashid"
96,"Eric","Raymond"
97,"J. K.","Rowling"
98,"Bertrand","Russell"
99,"Alex","Rutherford"
100,"Carl","Sagan"
101,"Edward","Said"
102,"Jean","Sassoon"
103,"Amartya","Sen"
104,"Frank","Shih"
105,"Nate","Silver"
106,"Simon","Singh"
107,"Adam","Smith"
108,"","Sorabjee"
109,"John","Steinbeck"
110,"Alfred","Stonier"
111,"Jonathan","Stroud"
112,"Gerald","Sussman"
113,"Andrew","Tanenbaum"
114,"Terence","Tao"
115,"Schilling","Taub"
116,"Shashi","Tharoor"
117,"Joy","Thomas"
118,"Vladimir","Vapnik"
119,"","Various"
120,"Jules","Verne"
121,"Cedric","Villani"
122,"Kurt","Vonnegut"
123,"H. G.","Wells"
124,"Morris","West"
125,"Bob","Woodward"
126,"Hussain","Zaidi"
127,NULL,NULL
