"lang_id","lang_name"
1,"Sardinian"
2,"Macedonian"
3,"Estonian"
4,"North Ndebele"
5,"Georgian"
6,"Yiddish"
7,"Tajik"
8,"Javanese"
9,"Xhosa"
10,"Arabic"
11,"Kashmiri"
12,"Irish"
13,"Aragonese"
14,"Walloon"
15,"Turkmen"
16,"Ukrainian"
17,"Kannada"
18,"Northern Sami"
19,"Chechen"
20,"Bambara"
21,"Akan"
22,"Sinhala, Sinhalese"
23,"Czech"
24,"Pāli"
25,"Korean"
26,"Chichewa; Chewa; Nyanja"
27,"Igbo"
28,"Latvian"
29,"Malay"
30,"Shona"
31,"Chinese"
32,"Croatian"
33,"Norwegian"
34,"Esperanto"
35,"Māori"
36,"Inupiaq"
37,"Malayalam"
38,"Norwegian Bokmål"
39,"Latin"
40,"Southern Sotho"
41,"Wolof"
42,"Nauru"
43,"Chuvash"
44,"Malagasy"
45,"Tswana"
46,"English"
47,"Lingala"
48,"Swati"
49,"Bulgarian"
50,"Dzongkha"
51,"Interlingue"
52,"Catalan; Valencian"
53,"Persian (Farsi)"
54,"Urdu"
55,"Hiri Motu"
56,"Tagalog"
57,"Panjabi, Punjabi"
58,"Japanese"
59,"Chamorro"
60,"Maltese"
61,"Galician"
62,"Hungarian"
63,"Scottish Gaelic; Gaelic"
64,"Kirundi"
65,"Pashto, Pushto"
66,"Khmer"
67,"Twi"
68,"German"
69,"Afrikaans"
70,"Somali"
71,"Marshallese"
72,"Old Church Slavonic, Church Slavonic, Old Bulgarian"
73,"Divehi; Dhivehi; Maldivian;"
74,"Ossetian, Ossetic"
75,"Vietnamese"
76,"Oromo"
77,"Sanskrit (Saṁskṛta)"
78,"Greek, Modern"
79,"Portuguese"
80,"Ndonga"
81,"Hindi"
82,"Komi"
83,"Romanian"
84,"Hebrew (modern)"
85,"Serbian"
86,"Occitan"
87,"Assamese"
88,"Lao"
89,"Welsh"
90,"Nepali"
91,"Ganda"
92,"Tamil"
93,"Cree"
94,"Ido"
95,"Tonga (Tonga Islands)"
96,"Slovak"
97,"Volapük"
98,"Uzbek"
99,"Dutch"
100,"Corsican"
101,"Zhuang, Chuang"
102,"Samoan"
103,"Luxembourgish, Letzeburgesch"
104,"Kurdish"
105,"French"
106,"Sindhi"
107,"South Azerbaijani"
108,"Kwanyama, Kuanyama"
109,"Ewe"
110,"Luba-Katanga"
111,"Kikuyu, Gikuyu"
112,"Faroese"
113,"Thai"
114,"Romansh"
115,"Burmese"
116,"Fula; Fulah; Pulaar; Pular"
117,"Kazakh"
118,"Azerbaijani"
119,"Amharic"
120,"Tahitian"
121,"Kongo"
122,"Nuosu"
123,"Russian"
124,"Polish"
125,"Oriya"
126,"Avaric"
127,"Fijian"
128,"Breton"
129,"Norwegian Nynorsk"
130,"Mongolian"
131,"Guaraní"
132,"Indonesian"
133,"Yoruba"
134,"Belarusian"
135,"Herero"
136,"Kyrgyz"
137,"Uyghur, Uighur"
138,"Ojibwe, Ojibwa"
139,"Danish"
140,"Slovene"
141,"Kanuri"
142,"Interlingua"
143,"Aymara"
144,"Swahili"
145,"Turkish"
146,"Tibetan Standard, Tibetan, Central"
147,"Bashkir"
148,"Albanian"
149,"Bosnian"
150,"Bislama"
151,"Sundanese"
152,"Sango"
153,"Avestan"
154,"Cornish"
155,"Armenian"
156,"Gujarati"
157,"Tsonga"
158,"Spanish; Castilian"
159,"Venda"
160,"Western Frisian"
161,"Telugu"
162,"Haitian; Haitian Creole"
163,"Basque"
164,"Icelandic"
165,"South Ndebele"
166,"Italian"
167,"Marathi (Marāṭhī)"
168,"Bihari"
169,"Tatar"
170,"Hausa"
171,"Abkhaz"
172,"Manx"
173,"Swedish"
174,"Kinyarwanda"
175,"Finnish"
176,"Tigrinya"
177,"Kalaallisut, Greenlandic"
178,"Limburgish, Limburgan, Limburger"
179,"Navajo, Navaho"
180,"Lithuanian"
181,"Zulu"
182,"Quechua"
183,"Bengali; Bangla"
184,"Inuktitut"
185,"Afar"
